asin,text,title,location_and_date,verified,rating,negative or positive
B07HBDNGHC,"Auf die Funktion der Box gehe ich nur kurz ein, da die Toniebox doch sehr bekannt ist und das Prinzip sogar für einen 2 jährigen leicht verständlich ist.Die Box wurde schnell geliefert, gibt es in schönen Farben (beim starter Set mit kreativ Tonie), ist nicht zu groß, so das kleine Kinder es gut herumtragen können, ist Ummantelt mit leicht gefütterten robusten Stoff und somit recht robust und auch sicher für Kinder.Es hat 2 Ohren für laut und leise.Für das Einrichten wird WLan benötigt. Wird ein Tonie drauf gesetzt, spielt es direkt ab. Leuchtet es blau, so wird der Inhalt während dem abspielen herunter geladen. Grün bedeutet alles super und rot/Orange das die Batterie bald alle ist.Haut man seitlich auf die Box so kann man ein Kapitel vor oder zurück springen.Der Ton ist an sich okay bis gut aber nicht herausragend und für den hohen Preis gerade noch akzeptabel.Die Figuren dafür sind niedlich und werden ebenfalls gerne bespielt. Nachteil hier ist, dass die Farbe der Tonies bei uns Streifen auf der glatten weissen Fläche der Box hinterlassen, wenn die Kinder diese zu grob auf die Box stellen. Sieht nicht schön aus.Der größte Nachteil ist hier jedoch der immer heftig werdende Preis.Die Box bringt nunmal ohne diese teuren kleinen Figuren nichts und diese kosten bereits 17€ und haben eine Laufzeit von minimal 30min und maximal 90 min. Im Schnitt jedoch meistens um die 50Ärgerlich ist auch das man nicht immer einsehen kann was sich nun auf den tonies für Lieder usw befindet. Auf der Verpackung ist zwar eine angeklebte Liste die man aufmachen müsste, dies wird jedoch von Verkäufern garnicht gerne gesehen.Auch bei Amazon wird nicht immer angezeigt was drauf ist.. So gucken wir immer auf der Hauptseite der Tonie Homepage was das ist und ob es Altersgeeignet ist.Die Frage ist ob andere Boxen wie zb die Tigerbox nicht doch bald lohnenswerter ist.Die Tonies lösen jedoch bei vielen (gerade auch den Eltern) eine Sammersucht aus und selbst im gebrauchten Zustand werden die Tonies für um die 10€ gehandelt.Es ist also ein recht teurer Spass... aber definitiv ein Spass. Mein Sohn liebt die Box ebenfalls. Wie fast jedes Kind","Die Toniebox: sehr teuer, sehr geliebt",Reviewed in Germany on 10 October 2022,True,4.0,positive
B07HBDNGHC,"Ich hielt die Toniebox immer für einen Überteuerten Lautsprecher mit überteuerter Musik/Hörbuch Software.Irgendwann habe ich mich dann doch dazu entschlossen unserer kleinen eine Box zu kaufen, nun ist die Toniebox bei uns seit über einem Jahr im Einsatz und ich möchte allen Interessenten hier meine Erfahrungen mit der Toniebox teilen.Für alle die sich für das Teil interessieren habe ich eine kleine Zusammenstellung gemacht und unten gibt es dann eine kurze Liste mit Vor und Nachteilen, so wie mein Persönliches Fazit.Natürlich gbt es neben der Toniebox viele Alternativen, welche deutlich günstiger sind aber bei der toniebox haben die bespielbaren Figuren einen gewissen Mehrwert.Ich verstehe aber jeden der seinem Kind einen Kassettenspieler mit alten Hörspielkasetten kauft oder einn Mp3 Player mit Geschichten bespielt...Was ist die Toniebox?Die Toniebox ist ein Lautsprecher mit einer NFC Schnittstelle auf dieser werden die separat erhältlichen Toniefiguren draufgestellt und die Hörspiele/Lieder werden gestartet.Bei der ersten Benutzung und das ist ganz wichtig, muss man zuerst ein Tonie-Konto anlegen und das Ganze frei schalten lassen. Hierzu wird die App auf dem Handy oder die Software auf dem PC benötigt.Das ist schon ein bisschen ein Aufwand und das sollte vor dem Verschenken erfolgen, da die kleinen die Toniebox sonst nicht sofort nutzen können.werden. Das heißt also, sofern man das Ganze nach dem schenken sofort dem Kind zeigen möchte, muss man vorher die Box samt Tonie öffnen und frei schalten, bzw. herunterladen. Sind die Daten aber erst einmal drauf, gehen sie nicht mehr verloren.Kauft man nun einen neuen Tonie, muss auch hier wieder diese neue Audiodatei frei geschaltet und auf dem Tonie übertragen werden.Das ganze ist ähnlich wie bei einem TipToi Stift, wenn es neue Bücher gibt.Beim ""Installieren"" neuer Tonies hat der hersteller nachgebessert und so reicht jetzt schon das draufstellen. Ist die Datei in der Cloud hochgeladen erfolgt ein Signalton.Nicht nur das Design der Toniebox ist Kindgerecht, auch die Bedienung ist für Kinder sehr intuitiv und einfach gehalten. So stoppt das Abspielen wenn die Figur herunter genommen wird und die Lautstärke wird durch drücken der süßen Ohren geregelt.Hält man die Box schräg wird vor bzw. zurückgespult usw.Positiv sei auch erwähnt dass sich die Box nach 10 Minuten selbsttätig ausschaltet, apropos, es ist ein Akku verbaut, welcher für bis zu 7Std. Hörspaß ohne Kabel sorgt.Geht der Saft aus, lässt sich die Box einfach auf die Ladestation stellen, ganz ohne Steckergefummel, so dass es auch kleinere Kinder hin bekommen.Leider ist Ladezeit mit bis zu 3Std. recht hoch ausgefallen.Ein Nachteil ist allerdings auch ein fehlendes Display, so ist es schwierig wenn man spezielle Lieder hören möchte oder eine eine bestimmte Stelle zu spulen.Das Tonie Sortiment ist wirklich sehr umfangreich und bietet viele unzählige Geschichten von den zahlreichen Kinderhelden Benjamin Blümchen, Bibi Blocksberg, Rabe Socke, Dr. Brumm, Olchi, die Maus, Tigerente, Conni, der kleine Prinz, Sandmann, Grüfelo, Bibi und Tina, Drache Kokosnuss, die kleine Hexe usw. zudem gibt es noch Märchen-Tonies und Tonies mit Kinderliedern für die kleinen bis hin zu der Band „unter meinem Bett“.Die Figuren sind alle recht nett gestaltet und halten einiges aus, somit haben die Kinder neben dem dazugehörigen Hörspiel auch noch eine Figur zum spielen.Bei den Tonies mit Kinderliedern gibt es aber Unterschiede bei der Tonqualität, als auch bei der Liederauswahl. So haben wir einen Tonie mit Kinderliedern, der spitze ist und einen mit Schlafliedern (der rote Fuchs) bei dem schwankt die Lautstärke und die Lieder wurden teils mit Dialekt oder etwas seltsam eingesungen.Kreativ Tonies können mit einer Länge von bis zu 90min selbst bespielt werden, hierfür braucht man aber natürlich wieder die App und eine Internetverbindung, da die Daten erst in die Cloud und dann auf die Box kommen. Dafür sind die Kreativ Tonies dann aber etwas ganz persönliches und besonderes und können auch aktualisiert werden.Generell gilt, bespielte Tonies können nicht bespielt werden, dies kann man ausschließlich mit kreativ Tonies machen.Glücklicherweise gibt es einen Klinkenanschluss, so dass man einen Kopfhörer anschließen kann, dann können die kleinen auch während der Autofahrt ihre Tonies genießen ohne das die Eltern durchdrehen.Leider gibt es weder eine USB Schnittstelle noch einen SD Card Steckplatz oder Bluetooth, man ist also dem Toniezwang untergeordnet. Da das System aber gut funktioniert geht das in Ordnung, jedoch kann das Ganze mit der Zeit teuer werden, auf der anderen Seite sind Tonies auch eine nette geschenkidee für Freunde und Verwandte.Vorteile der Toniebox:+Sehr gut verarbeitet+Weich gepolstert und Stoßfest+Kindgerechtes Design und Bedienung+Guter Klang für die Größe+Speicher für ca. 400Std. Tonmaterial+Umfangreiches Tonie-Sortiment mit schönen Geschichten/Liedern+Robuste Spielfiguren, mit denen das Tonmaterial abgespielt wird+Kreativtonies zum selber bespielen (mit eigenen Geschichten, Liedern, Nachrichten usw.)+Wertstabil (sollten die Kinder die Box nicht mögen, kann man sie wieder gut verkaufen)+Keine zerkratzten CDs mehr die Rumfliegen.+Akku mit bis zu 7Std Spielzeit+Einfache Ladestation (auch Kinderfreundlich)+Klinkenanschluss für einen Kopfhörer (ideal für die Autofahrt)Nachteile der Toniebox:-Mit 12x12cm nicht ganz so groß geraten-Hoher Anschaffungspreis-Toniefiguren recht teuer zwischen 12 und 15€ im Angebot zwischen 9 und 12€-Die Laufzeit der Tonies schwankt zwischen 30 und 90min-Vor der Nutzung neuer Figuren muss das Hörmaterial heruntergeladen werden-Widergabe nur mit Tonies möglich (kein USB, SD Card Slot oder ähnliches)-Das Hörspiel/Lieder des Tonies gibt es nur zum Abspielen auf der Toniebox-Der leere Akku braucht ca. 3std. bis zur Vollladung-Tonies mit Liedern können von der Qualität her stark schwanken-Ohne Display ist es schwierig an spezielle gewünschte Lieder oder Stellen bei Hörbüchern zu spulen/SkippenFazit:Die Lautsprecher Box könnte etwas größer sein, dafür ist der Klang allerdings besser als gedacht und die Bedienung als auch das Design sind wirklich sehr Kindgerecht gehalten.Zudem ist das Teil gut gepolstert und verträgt auch den einen oder anderen Sturz.Die erste Inbetriebnahme ist etwas aufwendiger und daher empfiehlt es sich die Box vorher auszupacken und vorzubereiten.Dafür bekommt man aber Hörspiele und Lieder in guter Qualität.Die separat erhältlichen Toniefiguren gibt es in zahlreichen Ausführungen und da ist wirklich für jeden was dabei.Da die Figuren schön gestaltet und recht robust sind, haben sie für die Kinder einen ungemeinen Mehrwert und sie spielen sehr gerne damit.Mein Persönliches Highlight sind jedoch die Kreativtonies, diese lassen sich mit bis zu 90min selbst bespielen. So spiele ich meine Persönlichen Gute Nacht Geschichten und Grüße darauf. Für den Urlaub gibt es dann noch einen mit den Lieblingsliedern.Der Nachteil der Tonies, man ist verpflichtet Tonies zu meist teureren Preisen als die CD kosten würde zu kaufen, zudem lässt sich die Audiodatei nur auf dem Tonie abspielen.Auch der Preis für die Toniebox mit ca. 80€ ist recht hoch.Unsere kleine liebt ihren Tonie, spielt mit den Figuren und hört nun viel Musik/Hörspiele und das macht Papa glücklich.Unsere Kleine spielt wirklich sehr oft mit den Figuren, somit hat die Toniebox neben den Audiodateien einen gewissen Mehrwert.Tipp:Da die Toniebox und die Tonies sehr Preisstabil sind, kommt man meist nur mit Rabattgutscheinen bei den größeren Händlern „günstig“ daran.Wenn Kaufhäuser oder Onlinehändler Beispielsweise 20% Rabatt auf Spielzeug anbieten, sollte man Hellhörig werden und zuschlagen. So habe ich meine Box für gut 63€ bekommen und Tonies kosten dann meist zwischen 9 und 12€ statt zwischen 12 und 15€.",Neutrale Bewertung der Toniebox nach über einem Jahr Nutzung,Reviewed in Germany on 2 April 2020,False,4.0,positive
B07HBDNGHC,"Die Box ist ein hübsches Gerät, leider ist sie nicht so robust wie man es von einem Gerät für Kinder erwartet. Nach 4 Monaten ist das eine Ohr schon defekt.Laut der Tonies Support Seite können diese Ohren nur durch Zähne oder Scheren beschädigt werden. Es geht auch durch lauter und leiser machen....","Schönes Teil, leider nicht so robust wie gedacht",Reviewed in Germany on 22 November 2022,True,5.0,positive
B07HBDNGHC,Hier muss ich einfach bewerten!!!Bin super zufrieden. Hab die Toniebox jetzt seid Mai 2021 und kann nur sagen sie ist robust und gut zu bedienen. Meine Kinder lieben sie.Vor kurzem ist mir nun der kreativ Tonie kaputt gegangen und ich hab den Verkäufer kontaktiert und nun bekomme ich Ersatz. Find ich toll.Weiter so.,Toniebox ist einfach super,Reviewed in Germany on 21 November 2022,True,5.0,positive
B07HBDNGHC,"Wir Lieben die toniebox. Sie ist mega praktisch, super leicht zu bedienen es gibt mega viele figuren zur AuswahlKönnen sie wirklich jeden empfehlen",100% Empfehlung,Reviewed in Germany on 28 November 2022,True,5.0,positive
B07HBDNGHC,Die Box wird oftmals unterschätzt. Wer sie besitzt möchte nicht mehr darauf verzichten. Die Kinder lieben sie. Geht auch bei Sturz nicht kaputt. Leicht zu bedienen auch von kleinen Kindern. Sehr klare Sprache. Angenehmer Ton und Lautstärke. Ist schon die Zweite. Meine Enkelin liebt ihre sei 3 Jahren. Nun noch eine für das Kind meiner Klientin. Die Tonies kann man Altersentsprechend kaufen. Super Teil!,Super 👍,Reviewed in Germany on 8 November 2022,True,5.0,positive
B07HBDNGHC,"super schnelle Lieferung, für die Kinder ideal,  viel Freude am zuhören, mitsingen u.ä. , kann ich bestens weiterempfehlen.",Toniebox,Reviewed in Germany on 28 November 2022,True,5.0,positive
B07HBDNGHC,"Hab die Toniebox für meine Kindergartenkinder gekauft, da sie leicht in der Handhabung und gefahrlos von Kindern genutzt werden kann. Sie ist der Hit und die Kinder lieben die Box. Die Installation dank Anleitung war gut zu bewältigen, wenn auch mit viel Nachlesen beim ersten Mal. Sie ist leicht und hat eine tolle Tonqualität (Lautstärkenmöglichkeiten können in der App eingestellt werden). Da kann meines Erachtens nichts kaputt gehen und die Kinder dürfen sie auch alleine benutzen. Den Kreativtonie finde ich toll- man kann diesen selbst (mit der App) besprechen oder selbst gekaufte Lieder darauf überspielen. Sicher auch ein tolles Geschenk für eigene Kinder, Neffen, Nichten usw...",Tolle kleine Musikanlage für Kinder,Reviewed in Germany on 8 October 2022,True,5.0,positive
B07HBDNGHC,Mir hat an dem Produkt gut gefallen das es robust ist und es leicht zu bedienen ist für Kinder.,Die Toniebox ist sehr gut und stabil,Reviewed in Germany on 19 November 2022,True,5.0,positive
B07HBDNGHC,"Wie beschrieben, sehr beliebt bei den Kindern, leicht zu bedienen und unkaputtbar",Top,Reviewed in Germany on 23 November 2022,True,5.0,positive
