asin,text,title,location_and_date,verified,rating,negative or positive,reviews,grade_bad,lang
B07MV3DYGJ,"Wartet auf jeden Fall bis der Pack im Angebot ist, dass ist regelmäßig der Fall. Alle Dosen werden sortiert in tollen Farben im original Karton direkt geliefert. Die Qualität ist wie immer bei Play-doh. Ich kaufe nur das Original weich, knetbar und im Topf einfach aufzubewahren.","Tolle Auswahl an Knete, regelmäßig im Angebot",Reviewed in Germany 🇩🇪 on 30 October 2022,True,5.0,positive,Wait case pack offer regular dimensions case sorted great color original cardboard delivered quality IMPLAY DOH purchase original soft kneadable pot easy to reserve great selection kneading ,1.0,en
B07MV3DYGJ,"After less than one month became dry. Not a good quality. My friends bought from another seller, and after even years it is soft.",Become dry,Reviewed in Germany 🇩🇪 on 28 November 2022,True,2.0,negative,aft less than one month becam dry not good quality my friend bought from anoth sell and aft even year it is soft becom dry,0.0,en
B08LSDKWRW,Die tonie war offen,Die tonie was offen,Reviewed in Germany 🇩🇪 on 24 October 2022,True,2.0,negative,toni offendi toni off,0.0,en
B09BG5XG95,Terrible device that is very limited,Useless,Reviewed in Germany on 24 November 2022,True,1.0,negative,terribl devic that is very limiteduseless,0.0,en
B00VNYDEGO,Wir haben als Erwachsene schon so viel Spaß mit diesem Spiel gehabt! Prima Party-Spiel (auch für Kinder ;-)),Top Spiel - nicht nur für Kinder,Reviewed in Germany 🇩🇪 on 19 November 2022,True,5.0,positive,Adults already had fun game great party game child top game child ,1.0,en
B07VBSHPKH,Top👍,Toll gemachte Figur,Reviewed in Germany on 25 November 2022,True,5.0,positive,Top Toll accompanied Figur ,1.0,en
B07VBSHPKH,"Tolle Figur. Geschichte, wie man sie kennt. Ich liebe Disney und somit auch diesen Tonie.",toll,Reviewed in Germany on 16 October 2022,True,5.0,positive,toll figur geschicht kennt lieb disney somit toni toll,1.0,en
B08H3P9CR2,Würde gerne jedem Kind so einen Tablet schencken. Es ist einfach von A-Z alles tip topKinder haben damit sehr viel spass und auch lernen tuen sie viel.,Es ist ein muss!,Reviewed in Germany on 30 November 2022,True,5.0,positive,gern kind tablet schenck einfach tip topkind spass lern tuen,1.0,en
B09QFQ2X4G,"Also wenn man Lego und Marvel mag, ist Groot ein Muss finde ich!Super zu bauen und macht auch am Regal was her!Preis/ Leistung ist bei 35€ definitiv Top!",Super Teil:-),Reviewed in Germany on 21 November 2022,True,5.0,positive,lego marvel mag groot find sup bau macht regal her preis leistung definitiv top sup teil,1.0,en
B09QFQ2X4G,My son learned a new building method while building the head. A fun and challenging set. Slightly too many bricks with stickers. But the set is definitely worth the money.,Fun set to make,Reviewed in Germany on 10 November 2022,True,5.0,positive,my son learned new building method whil building the head fun and challenging set slightly too many brick with stick but the set is definitely worth the money fun set to mak,1.0,en
B09QFQ2X4G,"This Groot or whatever it was suppoused to be, bearly stands still, even a slightest wobble makes it fall over and everything fells off. Even when building some parts of the head are bearly holding together and is way too heavy",Standing still is a challenge.,Reviewed in Germany on 17 November 2022,True,1.0,negative,this groot or whatev it suppoused to be bearly stand still even slight wobbl mak it fall over and everything fell off even when building som part of the head are bearly holding togeth and is way too heavystanding still is challeng,0.0,en
B09QFQ2X4G,"The product is great, shipping is terrible, it was put in a paper back, so the box is dent. Not very nice to give as a present.","Great Lego product, shipped terrible",Reviewed in Germany on 29 July 2022,True,2.0,negative,the product is great shipping is terribl it put pap back the box is dent not very nic to giv as present great lego product shipped terribl,0.0,en
